id_poste_livraison;id_parc;code_insee;nom_commune;code_dept;code_reg;x_poste_livraison;y_poste_livraison;epsg;libelle;date_maj
0003100119_PL1;0003100119;86104;GENOUILLE;86;75;493498.0;6557695.0;2154;Lambert-93;2022-11-04
0003100121_PL1;0003100121;86063;CHATAIN;86;75;499316.0;6556372.0;2154;Lambert-93;2022-10-20
0003100121_PL1;0003100121;86266;SURIN;86;75;499316.0;6556372.0;2154;Lambert-93;2022-10-20
0003100121_PL2;0003100121;86266;SURIN;86;75;499307.0;6556380.0;2154;Lambert-93;2022-10-20
0003100121_PL2;0003100121;86063;CHATAIN;86;75;499307.0;6556380.0;2154;Lambert-93;2022-10-20
0003100123_PL1;0003100123;86289;LE VIGEANT;86;75;517215.0;6574385.0;2154;Lambert-93;2022-11-24
0003100598_PL1;0003100598;17203;LANDRAIS;17;75;403542.0;6561354.0;2154;Lambert-93;2022-10-15
0003100598_PL1;0003100598;17080;CHAMBON;17;75;403542.0;6561354.0;2154;Lambert-93;2022-10-15
0003102024_PL1;0003102024;17359;ST MARD;17;75;417572.0;6560968.0;2154;Lambert-93;2022-10-20
0003102033_PL1;0003102033;17166;FORGES;17;75;400297.62;6564011.5;2154;Lambert-93;2022-11-10
0003102033_PL2;0003102033;17166;FORGES;17;75;400308.16;6564008.5;2154;Lambert-93;2022-11-10
0003102033_PL3;0003102033;17166;FORGES;17;75;400094.34;6562197.5;2154;Lambert-93;2022-11-10
0003102050_PL1;0003102050;16317;ST FRAIGNE;16;75;463529.0;6546662.0;2154;Lambert-93;2022-06-22
0003102050_PL2;0003102050;16317;ST FRAIGNE;16;75;465323.0;6544400.0;2154;Lambert-93;2022-06-22
0003102059_PL1;0003102059;17180;GOURVILLETTE;17;75;448820.0;6536740.0;2154;Lambert-93;2022-10-22
0003102136_PL1;0003102136;87097;VAL D'ISSOIRE;87;75;540741.0;6558865.0;2154;Lambert-93;2022-11-10
0003102200_PL1;0003102200;16194;LUPSAULT;16;75;464657.0;6540367.0;2154;Lambert-93;2022-10-22
0003102200_PL1;0003102200;16248;ORADOUR;16;75;464657.0;6540367.0;2154;Lambert-93;2022-10-22
0003102200_PL2;0003102200;16194;LUPSAULT;16;75;464662.0;6540381.0;2154;Lambert-93;2022-10-22
0003102200_PL2;0003102200;16248;ORADOUR;16;75;464662.0;6540381.0;2154;Lambert-93;2022-10-22
0003102230_PL1;0003102230;16110;COURCOME;16;75;482450.0;6546010.0;2154;Lambert-93;2022-10-21
0003102292_PL1;0003102292;17293;PUYRAVAULT;17;75;403880.0;6566821.0;2154;Lambert-93;2022-10-28
0003102292_PL1;0003102292;17080;CHAMBON;17;75;403880.0;6566821.0;2154;Lambert-93;2022-10-28
0003102292_PL2;0003102292;17080;CHAMBON;17;75;403704.0;6566050.0;2154;Lambert-93;2022-10-28
0003102292_PL2;0003102292;17293;PUYRAVAULT;17;75;403704.0;6566050.0;2154;Lambert-93;2022-10-28
0003102389_PL1;0003102389;79147;LARGEASSE;79;75;429423.0;6627798.0;2154;Lambert-93;2022-10-25
0003102392_PL1;0003102392;86034;BOURESSE;86;75;511593.0;6584261.0;2154;Lambert-93;2022-10-20
0003102392_PL1;0003102392;86248;ST SECONDIN;86;75;511593.0;6584261.0;2154;Lambert-93;2022-10-20
0003102401_PL1;0003102401;17416;SALEIGNES;17;75;455066.0;6549674.0;2154;Lambert-93;2022-10-19
0003102401_PL1;0003102401;17301;ROMAZIERES;17;75;455066.0;6549674.0;2154;Lambert-93;2022-10-19
0003102401_PL2;0003102401;17416;SALEIGNES;17;75;455075.0;6549672.0;2154;Lambert-93;2022-10-19
0003102401_PL2;0003102401;17301;ROMAZIERES;17;75;455075.0;6549672.0;2154;Lambert-93;2022-10-19
0003102402_PL1;0003102402;17132;CRAMCHABAN;17;75;412112.97;6575089.5;2154;Lambert-93;2022-11-25
0003102402_PL2;0003102402;17132;CRAMCHABAN;17;75;412107.34;6575080.0;2154;Lambert-93;2022-11-25
0003102403_PL1;0003102403;86159;MILLAC;86;75;524972.0;6570134.0;2154;Lambert-93;2022-10-26
0003102424_PL1;0003102424;23201;SAINT-HILAIRE-LA-PLAINE;23;75;621749.9;6557522.5;2154;Lambert-93;2022-10-25
0003102861_PL1;0003102861;86248;ST SECONDIN;86;75;506544.0;6582445.0;2154;Lambert-93;2022-10-20
0003103079_PL1;0003103079;79134;GLENAY;79;75;455208.0;6642786.0;2154;Lambert-93;2022-11-03
0003103079_PL1;0003103079;79005;AIRVAULT;79;75;455208.0;6642786.0;2154;Lambert-93;2022-11-03
0003103126_PL1;0003103126;86125;LEIGNE LES BOIS;86;75;525919.0;6629512.0;2154;Lambert-93;2022-10-14
0003103208_PL1;0003103208;17149;LES EDUTS;17;75;452134.0;6549516.0;2154;Lambert-93;2022-10-21
0003103208_PL2;0003103208;17149;LES EDUTS;17;75;452143.0;6549516.0;2154;Lambert-93;2022-10-21
0003103208_PL3;0003103208;17149;LES EDUTS;17;75;452153.0;6549516.0;2154;Lambert-93;2022-10-21
0003103346_PL1;0003103346;23253;THAURON;23;75;606400.9;6541204.0;2154;Lambert-93;2022-10-21
0003103346_PL1;0003103346;23122;MANSAT-LA-COURRIERE;23;75;606400.9;6541204.0;2154;Lambert-93;2022-10-21
0003103360_PL1;0003103360;86055;LA CHAPELLE-BATON;86;75;500774.0;6567269.0;2154;Lambert-93;2022-10-29
